演唱会名称,艺人,地点,时间,票价,链接
小沈阳2024《我不！是歌手》巡回演唱会--石家庄站,艺人：小沈阳,石家庄,2024.08.17 周六 20:00,380-880,https://detail.damai.com/item.htm?id=799198346573&clicktitle=小沈阳2024《我不！是歌手》巡回演唱会--石家庄站
喜力·泡泡岛音乐与艺术节·东南站,艺人：汪苏泷、孙燕姿、魏晨、陈粒、陈楚生、赵雷、张远、万妮达、魏如萱、张钰琪、金玟岐、陈婧霏、沈以诚、Fine乐团、刘思鉴、HUSH、Crispy脆乐团,福州,2024.06.15-06.16,328-968,https://detail.damai.com/item.htm?id=794975845912&clicktitle=喜力·泡泡岛音乐与艺术节·东南站
2024张韶涵世界巡回演唱会-长春站,艺人：张韶涵,长春,2024.06.21 周五 19:30,388-1388,https://detail.damai.com/item.htm?id=795473290235&clicktitle=2024张韶涵世界巡回演唱会-长春站
徐佳莹「变得有些奢侈的事」巡回演唱会-深圳站,艺人：徐佳莹,深圳,2024.07.06 周六 19:00,380-1380,https://detail.damai.com/item.htm?id=798155964965&clicktitle=徐佳莹「变得有些奢侈的事」巡回演唱会-深圳站
新白娘子传奇30年演唱会（杭州站）,,杭州,2024.07.20 周六 19:30,380-1580,https://detail.damai.com/item.htm?id=798105485450&clicktitle=新白娘子传奇30年演唱会（杭州站）
2024葫芦果音乐节,艺人：毛不易、陈楚生、单依纯、魏晨、陈绮贞、张远、颜人中、夏日入侵企画、郭顶、Fine乐团、黄誉博、橘子海、deca joins、康姆士COM'Z、曹杨、蒲熠星、沈以诚,合肥,2024.07.13-07.14,298-798,https://detail.damai.com/item.htm?id=793632369190&clicktitle=2024葫芦果音乐节
如梦·云SKY大同音乐节,艺人：陈楚生、安达乐队、郭顶、魏晨、房东的猫、丢火车乐队、沈以诚、黄誉博、太帅了花、简单对话、许巍、逃跑计划、岛屿心情、花墙乐队、冷角落,大同,2024.07.27-07.28,229-550,https://detail.damai.com/item.htm?id=796526491590&clicktitle=如梦·云SKY大同音乐节
超级音雄巨星演唱会-重庆站,艺人：王力宏、潘玮柏、张韶涵、萧敬腾,重庆,2024.06.16 周日 19:00,280-1280,https://detail.damai.com/item.htm?id=794227374323&clicktitle=超级音雄巨星演唱会-重庆站
《给所有知道我名字的人》赵传2024巡回演唱会-武汉站,艺人：赵传,武汉,2024.07.06 周六 19:30,380-880,https://detail.damai.com/item.htm?id=800628663334&clicktitle=《给所有知道我名字的人》赵传2024巡回演唱会-武汉站
2024周柏豪「奔赴」世界巡回演唱会-上海站,艺人：周柏豪,上海,2024.06.15 周六 19:30,380-1380,https://detail.damai.com/item.htm?id=795371870553&clicktitle=2024周柏豪「奔赴」世界巡回演唱会-上海站
那年，夏天！时光音悦荟,艺人：王心凌、云朵、叶世荣、游鸿明、邰正宵、梦然,扬州,2024.07.13 周六 19:30,180-980,https://detail.damai.com/item.htm?id=800943257767&clicktitle=那年，夏天！时光音悦荟
2024长春去野音乐节,,长春,2024.06.29-06.30,199-599,https://detail.damai.com/item.htm?id=799327918346&clicktitle=2024长春去野音乐节
南陵大浦“iCAR”海啸音乐嘉年华,艺人：胡彦斌、魏巡、丁当、买辣椒也用券,芜湖,2024.06.15 周六 14:30,238-288,https://detail.damai.com/item.htm?id=802755233457&clicktitle=南陵大浦“iCAR”海啸音乐嘉年华
2024光良“今晚我不孤独2.0”巡回演唱会上海站,艺人：光良,上海,2024.06.22 周六 19:00,399-1299,https://detail.damai.com/item.htm?id=794432527330&clicktitle=2024光良“今晚我不孤独2.0”巡回演唱会上海站
任意门音乐嘉年华·老友纪,艺人：HENRY刘宪华、林峯、卫兰、王齐铭、甘望星、狄迪,重庆,2024.07.06 周六 18:00,388-1188,https://detail.damai.com/item.htm?id=801011095883&clicktitle=任意门音乐嘉年华·老友纪
徐佳莹“变得有些奢侈的事”巡回演唱会-长沙站,艺人：徐佳莹,长沙,2024.07.20 周六 19:30,380-1380,https://detail.damai.com/item.htm?id=794498110810&clicktitle=徐佳莹“变得有些奢侈的事”巡回演唱会-长沙站
海诗·海峡两岸美食音乐节,艺人：二手玫瑰、张震岳、郭顶、詹雯婷、队长YoungCaptain、郑润泽、BY2、九宝、声音玩具、木马乐队、黄雨勋、南拳妈妈、PeaceHotel和平饭店乐队、歌之初乐队、柏松,三明,2024.07.05-07.06,288-888,https://detail.damai.com/item.htm?id=797144449092&clicktitle=海诗·海峡两岸美食音乐节
2024乐堡WHY NOT音乐节·贵阳站,,贵阳,2024.06.29-06.30,168-520,https://detail.damai.com/item.htm?id=798234746250&clicktitle=2024乐堡WHY NOT音乐节·贵阳站
房东的猫「世界/青年」2024巡回演唱会-北京站,艺人：房东的猫,北京,2024.06.29 周六 19:00,380-1080,https://detail.damai.com/item.htm?id=794886734665&clicktitle=房东的猫「世界/青年」2024巡回演唱会-北京站
QQ音乐巅峰音乐节·绵阳站,艺人：杨千嬅、郑钧、郭顶、回春丹乐队、詹雯婷、白举纲、姚琛、焦迈奇、麻园诗人、房东的猫、许佳琪、段奥娟、犬儒、简单对话,绵阳,2024.06.15-06.16,299-699,https://detail.damai.com/item.htm?id=796686687066&clicktitle=QQ音乐巅峰音乐节·绵阳站
2024热浪飞行音乐节,艺人：陈绮贞、旅行新蜜蜂乐队、单依纯、蒲熠星、杨丞琳、姚琛、俞更寅、张星特,成都,2024.06.22 周六 14:00,288-688,https://detail.damai.com/item.htm?id=793749730586&clicktitle=2024热浪飞行音乐节
BY2《赛博2072》全国巡演广州站,艺人：BY2,广州,2024.07.06 周六 19:00,488-888,https://detail.damai.com/item.htm?id=802460755831&clicktitle=BY2《赛博2072》全国巡演广州站
古巨基我好钟意唱歌巡回演唱会2024重庆站,艺人：古巨基,重庆,2024.07.27 周六 19:00,399-1299,https://detail.damai.com/item.htm?id=796979086138&clicktitle=古巨基我好钟意唱歌巡回演唱会2024重庆站
黄绮珊「晚霞·不晚」2024巡回演唱会-武汉站,艺人：黄绮珊,武汉,2024.06.29 周六 19:30,380-1180,https://detail.damai.com/item.htm?id=796164139438&clicktitle=黄绮珊「晚霞·不晚」2024巡回演唱会-武汉站
2024艺尚音乐节 绘长歌湖畔国风演唱会,,杭州,2024.06.29 周六 19:30,228-528,https://detail.damai.com/item.htm?id=798972918325&clicktitle=2024艺尚音乐节 绘长歌湖畔国风演唱会
百威 · CREAMFIELDS 奶油田2024成都站,艺人：the chainsmokers（烟鬼乐队）、Nicky Romero、R3HAB,成都,2024.06.15-06.16,680-1180,https://detail.damai.com/item.htm?id=795857770169&clicktitle=百威 · CREAMFIELDS 奶油田2024成都站
爱玛·追星 欢乐太行谷音乐节,艺人：痛仰乐队、二手玫瑰、房东的猫、许巍、老狼、棱镜乐队、万能青年旅店、银河快递、野肆乐队、简单对话、The Messy梅西合唱团、郭顶,长治,2024.07.13-07.14,239-588,https://detail.damai.com/item.htm?id=789691550926&clicktitle=爱玛·追星 欢乐太行谷音乐节
原力岛科技音乐节,艺人：连麻Swimming、马王HorseKing、乃万、高天佐Trouble.Z、小酷Coola、队长YoungCaptain、福克斯、Kc左元杰、刘柏辛、PSY.P、姜云升、苏醒,温州,2024.06.15 周六,90-398,https://detail.damai.com/item.htm?id=794574014671&clicktitle=原力岛科技音乐节
2024杨丞琳“LIKE A STAR”巡回演唱会-厦门站,艺人：杨丞琳,厦门,2024.06.15 周六 19:00,380-1380,https://detail.damai.com/item.htm?id=793102464420&clicktitle=2024杨丞琳“LIKE A STAR”巡回演唱会-厦门站
"Perfume ""COD3 OF P3RFUM3 ZOZ5"" Asia Tour 2024-上海场",艺人：PERFUME,上海,2024.06.29 周六 19:30,580-1280,"https://detail.damai.com/item.htm?id=798340273583&clicktitle=Perfume ""COD3 OF P3RFUM3 ZOZ5"" Asia Tour 2024-上海场"
2024青岛纯生.长春禧都音乐节,艺人：大张伟、小鬼-王琳凯、万能青年旅店、郭顶、杨和苏、队长YoungCaptain、郑润泽、h3R3刘清云、张远、陆虎、DIGI GHETTO、王以太、梅卡德尔、连麻Swimming、SASIOVERLXRD、沉舟乐队、黑屋乐队、贰万、kandi侃迪、The Eureka尤瑞卡,长春,2024.06.29-06.30,228-1088,https://detail.damai.com/item.htm?id=788535599744&clicktitle=2024青岛纯生.长春禧都音乐节
2024东营文汇河海音乐节,艺人：毛不易、艾热、TANK吕建忠、威尔Will.T、霓虹花园、石岩、布瑞吉、vava、派克特,东营,2024.06.22-06.23,93-493,https://detail.damai.com/item.htm?id=793106276209&clicktitle=2024东营文汇河海音乐节
“不如见一面”海来阿木2024巡回演唱会-武汉站,艺人：海来阿木,武汉,2024.06.30 周日 19:30,480-1280,https://detail.damai.com/item.htm?id=797225112928&clicktitle=“不如见一面”海来阿木2024巡回演唱会-武汉站
千禧复古派对(含凤凰传奇专场),,深圳,2024.06.22-06.23,68-180,https://detail.damai.com/item.htm?id=802670254682&clicktitle=千禧复古派对(含凤凰传奇专场)
伯远「超越形态」全国巡回演唱会长沙站,艺人：伯远,长沙,2024.06.15 周六 19:30,380-980,https://detail.damai.com/item.htm?id=799991283800&clicktitle=伯远「超越形态」全国巡回演唱会长沙站
月港传奇群星演唱会,艺人：吴克群、王栎鑫、弦子、程响、王琪,漳州,2024.06.17 周一 19:30,199-599,https://detail.damai.com/item.htm?id=801501089732&clicktitle=月港传奇群星演唱会
2024张信哲「未来式终极版」世界巡回演唱会-西宁站,艺人：张信哲,西宁,2024.06.15 周六 20:30,288-2000,https://detail.damai.com/item.htm?id=788042147671&clicktitle=2024张信哲「未来式终极版」世界巡回演唱会-西宁站
保定银行燃情盛夏演唱会,艺人：小沈阳、刘和刚、王琪、阿吉太组合、李丹阳,保定,2024.06.23 周日 20:00,132-622,https://detail.damai.com/item.htm?id=802523291564&clicktitle=保定银行燃情盛夏演唱会
黄绮珊「晚霞·不晚」2024巡回演唱会-沈阳站,艺人：黄绮珊,沈阳,2024.06.15 周六 19:30,380-1180,https://detail.damai.com/item.htm?id=796180495526&clicktitle=黄绮珊「晚霞·不晚」2024巡回演唱会-沈阳站
【造音呈现】井迪「追光旅行」2024全国巡演 长沙站,艺人：井迪,长沙,2024.07.13 周六 20:00,168-288,https://detail.damai.com/item.htm?id=800413534092&clicktitle=【造音呈现】井迪「追光旅行」2024全国巡演 长沙站
因为寂寞·糖妹黄山怡音乐会,,广州,2024.07.20 周六 20:00,198-498,https://detail.damai.com/item.htm?id=802342694859&clicktitle=因为寂寞·糖妹黄山怡音乐会
热浪澎湃2024「Splash！」限定主题音乐现场,,成都,2024.06.15 周六 17:45,268-658,https://detail.damai.com/item.htm?id=798486375757&clicktitle=热浪澎湃2024「Splash！」限定主题音乐现场
歌者启程 张云雷演唱会-北京站,艺人：张云雷,北京,2024.06.15 周六 19:30,380-1780,https://detail.damai.com/item.htm?id=788030930758&clicktitle=歌者启程 张云雷演唱会-北京站
不凡演唱会（温州站）,艺人：海来阿木、郁可唯、汪东城,温州,2024.07.06 周六 19:30,188-988,https://detail.damai.com/item.htm?id=797744565497&clicktitle=不凡演唱会（温州站）
黄礼格「庆祝我们搞砸的一切」2024巡演 天津站,艺人：黄礼格,天津,2024.07.27 周六 19:30,138-520,https://detail.damai.com/item.htm?id=802834158895&clicktitle=黄礼格「庆祝我们搞砸的一切」2024巡演 天津站
苏锦保演唱会,艺人：杨宗纬、陈慧琳、水木年华、王靖雯、庄心妍、黑龙、云朵、程响、彭筝、大哲、郑源、王蓉（Rollin Wang）、李晓杰、慕容晓晓,上海,2024.06.21-06.24,688-1688,https://detail.damai.com/item.htm?id=803404547899&clicktitle=苏锦保演唱会
2024 青岛艾可什机场音乐节—序章篇,,青岛,2024.06.15-06.16,198-666,https://detail.damai.com/item.htm?id=789877985120&clicktitle=2024 青岛艾可什机场音乐节—序章篇
Zkaaai-2024巡演杭州站,艺人：zkaaai,杭州,2024.06.28 周五 20:00,128-268,https://detail.damai.com/item.htm?id=800172778701&clicktitle=Zkaaai-2024巡演杭州站
林宥嘉idol2024巡回演唱会合肥站,艺人：林宥嘉,合肥,2024.07.06 周六 19:00,380-1580,https://detail.damai.com/item.htm?id=787022085623&clicktitle=林宥嘉idol2024巡回演唱会合肥站
“所以少年人”水木年华2024巡回演唱会-佛山站,艺人：水木年华,佛山,2024.09.07 周六 19:30,180-1000,https://detail.damai.com/item.htm?id=800973222036&clicktitle=“所以少年人”水木年华2024巡回演唱会-佛山站
徐佳莹「变得有些奢侈的事」巡回演唱会-南京站,艺人：徐佳莹,南京,2024.06.15 周六 19:30,380-1380,https://detail.damai.com/item.htm?id=786356191740&clicktitle=徐佳莹「变得有些奢侈的事」巡回演唱会-南京站
黄礼格「庆祝我们搞砸的一切」2024巡演 广州站,艺人：黄礼格,广州,2024.08.23 周五 20:00,138-520,https://detail.damai.com/item.htm?id=803018080138&clicktitle=黄礼格「庆祝我们搞砸的一切」2024巡演 广州站
陈雪凝「我新长出的犄角」2024全国巡演上海站【嘉宾：陈俊宇&陈壹千】,艺人：陈雪凝,上海,2024.07.05 周五 20:30,180-360,https://detail.damai.com/item.htm?id=801775994531&clicktitle=陈雪凝「我新长出的犄角」2024全国巡演上海站【嘉宾：陈俊宇&陈壹千】
Macovaseas&Bobbynopeace 出来玩er杭州站,,杭州,2024.06.22 周六 20:00,268-388,https://detail.damai.com/item.htm?id=801884731424&clicktitle=Macovaseas&Bobbynopeace 出来玩er杭州站
【常州站】6.22 E.V.C×TOMORROW CLUB丨于秘语梦境之中追寻狂欢,,常州,2024.06.22-06.23,99-495,https://detail.damai.com/item.htm?id=803152892127&clicktitle=【常州站】6.22 E.V.C×TOMORROW CLUB丨于秘语梦境之中追寻狂欢
千禧奇迹音乐节,艺人：二手玫瑰、新裤子、逃跑计划、霓虹花园、棱镜乐队、九宝、梅卡德尔、Fine乐团、面孔乐队、闪星TWINKLESTAR、队长YoungCaptain、郑润泽、h3R3刘清云、假假條,西安,2024.06.29-06.30,289-498,https://detail.damai.com/item.htm?id=798706900391&clicktitle=千禧奇迹音乐节
2024吴若希“IN.POSSIBLE”巡回音乐会-广州站,艺人：吴若希,广州,2024.07.19 周五 20:00,280-480,https://detail.damai.com/item.htm?id=795831218997&clicktitle=2024吴若希“IN.POSSIBLE”巡回音乐会-广州站
新濠风尚呈献：「新濠尊属系列」 容祖儿ETERNITY演唱会2024,艺人：容祖儿,中国澳门,2024.07.13-08.25,1350-43200,https://detail.damai.com/item.htm?id=798066304082&clicktitle=新濠风尚呈献：「新濠尊属系列」 容祖儿ETERNITY演唱会2024
蔡健雅“Let’s Depart！给世界最悠长的吻”巡回演唱会-重庆站,艺人：蔡健雅,重庆,2024.07.20 周六 19:30,399-1099,https://detail.damai.com/item.htm?id=787103423710&clicktitle=蔡健雅“Let’s Depart！给世界最悠长的吻”巡回演唱会-重庆站
小沈阳2024《我不！是歌手》巡回演唱会--大庆站,艺人：小沈阳,大庆,2024.06.29 周六 19:00,280-880,https://detail.damai.com/item.htm?id=789342516752&clicktitle=小沈阳2024《我不！是歌手》巡回演唱会--大庆站
弦子“需要多久才能看完一场日落”2024巡回演唱会-北京站,艺人：弦子,北京,2024.07.13 周六 19:30,358-568,https://detail.damai.com/item.htm?id=798821803818&clicktitle=弦子“需要多久才能看完一场日落”2024巡回演唱会-北京站
陈雪凝「我新长出的犄角」2024全国巡演 长沙站,艺人：陈雪凝,长沙,2024.08.10 周六 20:00,180-360,https://detail.damai.com/item.htm?id=800225297006&clicktitle=陈雪凝「我新长出的犄角」2024全国巡演 长沙站
动力火车“都是因为爱”演唱会·北京站,艺人：动力火车,北京,2024.07.06 周六 19:00,380-1280,https://detail.damai.com/item.htm?id=788063371597&clicktitle=动力火车“都是因为爱”演唱会·北京站
2024张信哲未来式终极版世界巡回演唱会呼和浩特站,艺人：张信哲,呼和浩特,2024.06.22 周六 20:00,380-1380,https://detail.damai.com/item.htm?id=784397520877&clicktitle=2024张信哲未来式终极版世界巡回演唱会呼和浩特站
2024 ICE杨长青“LIFE”巡演-成都站,艺人：ICE杨长青,成都,2024.07.06 周六 20:00,288-458,https://detail.damai.com/item.htm?id=802551031871&clicktitle=2024 ICE杨长青“LIFE”巡演-成都站
吴克群《我们的冒险》巡回演唱会-成都站,艺人：吴克群,成都,2024.06.16 周日 19:00,480-1280,https://detail.damai.com/item.htm?id=795722979475&clicktitle=吴克群《我们的冒险》巡回演唱会-成都站
2024 现场时刻 音乐会,艺人：侧田、AGA、刘浩龙,佛山,2024.07.13 周六 20:00,380-980,https://detail.damai.com/item.htm?id=793873344381&clicktitle=2024 现场时刻 音乐会
歌者来了-时空奇境音乐超现场,艺人：李宇春、林峯、张远、黄子韬、王栎鑫、Ella陈嘉桦、许绍洋、李荣浩、张靓颖、苏醒、魏巡,广州,2024.06.22-06.23,599-2599,https://detail.damai.com/item.htm?id=800126595616&clicktitle=歌者来了-时空奇境音乐超现场
2024光良「今晚我不孤独2.0」巡回演唱会重庆站,艺人：光良,重庆,2024.07.13 周六 19:30,399-1314,https://detail.damai.com/item.htm?id=787692143932&clicktitle=2024光良「今晚我不孤独2.0」巡回演唱会重庆站
于贞Ingrita「奇迹」2024全国巡演 （广州站）,艺人：于贞,广州,2024.09.08 周日 19:30,249-399,https://detail.damai.com/item.htm?id=799869430355&clicktitle=于贞Ingrita「奇迹」2024全国巡演 （广州站）
2024当我们谈论爱情梁静茹世界巡回演唱会-厦门站,艺人：梁静茹,厦门,2024.06.22 周六 19:00,499-1399,https://detail.damai.com/item.htm?id=782858152029&clicktitle=2024当我们谈论爱情梁静茹世界巡回演唱会-厦门站
LANY - a beautiful blur: the world tour 上海站,艺人：LANY,上海,2024.07.05 周五 20:00,480-1980,https://detail.damai.com/item.htm?id=796258216905&clicktitle=LANY - a beautiful blur: the world tour 上海站
首届ULTRA HongKong电子音乐节,,中国香港,2024.09.14 周六 12:00,680-1780,https://detail.damai.com/item.htm?id=795207129144&clicktitle=首届ULTRA HongKong电子音乐节
2024.6.22誰明浪子心《回响·王杰》金曲演唱会–西安站,,西安,2024.06.22 周六 19:30,80-230,https://detail.damai.com/item.htm?id=800421207858&clicktitle=2024.6.22誰明浪子心《回响·王杰》金曲演唱会–西安站
J.Sheon庄珣 2024「 别问很可怕」巡演 ·成都站,艺人：J.Sheon庄珣,成都,2024.07.13 周六 19:30,288-696,https://detail.damai.com/item.htm?id=801170833136&clicktitle=J.Sheon庄珣 2024「 别问很可怕」巡演 ·成都站
"BOYHOOD""Vacation一夏”巡回演唱会",艺人：BOYHOOD,北京,2024.06.15 周六 18:00,380-580,"https://detail.damai.com/item.htm?id=800924583078&clicktitle=BOYHOOD""Vacation一夏”巡回演唱会"
侧田第一秒巡回演唱会-南宁站,艺人：侧田,南宁,2024.06.29 周六 20:00,380-1280,https://detail.damai.com/item.htm?id=794141507942&clicktitle=侧田第一秒巡回演唱会-南宁站
杨千嬅MY TREE OF LIVE巡回演唱会-天津站,艺人：杨千嬅,天津,2024.06.14-06.15,398-1298,https://detail.damai.com/item.htm?id=781506583468&clicktitle=杨千嬅MY TREE OF LIVE巡回演唱会-天津站
裘德2024「境地新生」音乐会-上海站,艺人：裘德,上海,2024.08.11 周日 19:30,180-680,https://detail.damai.com/item.htm?id=799169547828&clicktitle=裘德2024「境地新生」音乐会-上海站
棱镜「多少年·多少面」2024巡回演唱会,艺人：棱镜乐队,成都,2024.06.22 周六 19:00,380-880,https://detail.damai.com/item.htm?id=785071314397&clicktitle=棱镜「多少年·多少面」2024巡回演唱会
洪佩瑜「明室 Silver Lining」2024巡演上海站,,上海,2024.07.06 周六 20:00,248-288,https://detail.damai.com/item.htm?id=803289170061&clicktitle=洪佩瑜「明室 Silver Lining」2024巡演上海站
于贞Ingrita「奇迹」2024全国巡演 （成都站）,艺人：于贞,成都,2024.07.20 周六 19:30,249-399,https://detail.damai.com/item.htm?id=799789891673&clicktitle=于贞Ingrita「奇迹」2024全国巡演 （成都站）
2024焦迈奇“游泳回家”巡回演唱会-杭州站,艺人：焦迈奇,杭州,2024.07.13 周六 19:30,380-680,https://detail.damai.com/item.htm?id=785540293375&clicktitle=2024焦迈奇“游泳回家”巡回演唱会-杭州站
动力火车“都是因为爱”巡回演唱会-杭州站,艺人：动力火车,杭州,2024.07.27 周六 19:30,380-1280,https://detail.damai.com/item.htm?id=786907210177&clicktitle=动力火车“都是因为爱”巡回演唱会-杭州站
洪佩瑜「明室 Silver Lining」2024巡演广州站,,广州,2024.07.20 周六 20:00,248-288,https://detail.damai.com/item.htm?id=802962526907&clicktitle=洪佩瑜「明室 Silver Lining」2024巡演广州站
Macovaseas&Bobbynopeace出来玩er广州站,,广州,2024.06.28 周五 20:00,268-388,https://detail.damai.com/item.htm?id=802418296830&clicktitle=Macovaseas&Bobbynopeace出来玩er广州站
蔡健雅“Let's Depart！给世界最悠长的吻”巡回演唱会-厦门站,艺人：蔡健雅,厦门,2024.06.29 周六 19:00,399-1099,https://detail.damai.com/item.htm?id=784437285457&clicktitle=蔡健雅“Let's Depart！给世界最悠长的吻”巡回演唱会-厦门站
大张伟 “大好时光演唱会”  “续一个Nice”深圳站·抖音特别场,艺人：大张伟,深圳,2024.06.22 周六 19:00,233-1831,https://detail.damai.com/item.htm?id=783101540194&clicktitle=大张伟 “大好时光演唱会”  “续一个Nice”深圳站·抖音特别场
认识你真好²孙耀威世界巡回演唱会,艺人：孙耀威,广州,2024.06.15 周六 19:00,388-1188,https://detail.damai.com/item.htm?id=793892910517&clicktitle=认识你真好²孙耀威世界巡回演唱会
于贞Ingrita「奇迹」2024全国巡演 （杭州站）,艺人：于贞,杭州,2024.06.30 周日 20:00,249-399,https://detail.damai.com/item.htm?id=798127280936&clicktitle=于贞Ingrita「奇迹」2024全国巡演 （杭州站）
KPOPBOOM乌鲁木齐站｜室内KPOP超级派对,,乌鲁木齐,2024.06.29 周六 20:00,88-188,https://detail.damai.com/item.htm?id=800879056578&clicktitle=KPOPBOOM乌鲁木齐站｜室内KPOP超级派对
2024 郁可唯“终身浪漫的开始”演唱会-北京站,艺人：郁可唯,北京,2024.06.22 周六 19:30,380-1080,https://detail.damai.com/item.htm?id=783133036856&clicktitle=2024 郁可唯“终身浪漫的开始”演唱会-北京站
【造音呈现】井迪「追光旅行」2024全国巡演 成都站,艺人：井迪,成都,2024.07.20 周六 20:00,168-288,https://detail.damai.com/item.htm?id=800590456105&clicktitle=【造音呈现】井迪「追光旅行」2024全国巡演 成都站
于贞Ingrita「奇迹」2024全国巡演 （武汉站）,艺人：于贞,武汉,2024.06.22 周六 20:00,249-399,https://detail.damai.com/item.htm?id=797961782448&clicktitle=于贞Ingrita「奇迹」2024全国巡演 （武汉站）
《请回答1988》韩剧主题曲演唱会,,宁波,2024.08.10 周六 19:30,58-600,https://detail.damai.com/item.htm?id=800857512451&clicktitle=《请回答1988》韩剧主题曲演唱会
【惊喜加场】ONER 「燃点」 ON FIRE 巡演-郑州站,艺人：ONER,郑州,2024.06.30 周日 19:30,480-880,https://detail.damai.com/item.htm?id=800156175367&clicktitle=【惊喜加场】ONER 「燃点」 ON FIRE 巡演-郑州站
井迪「追光旅行」2024全国巡演 广州站【造音呈现】,艺人：井迪,广州,2024.06.23 周日 20:00,168-288,https://detail.damai.com/item.htm?id=795963309050&clicktitle=井迪「追光旅行」2024全国巡演 广州站【造音呈现】
2024良渚古典音乐节 亲子音乐会—古典音乐名曲启蒙,,杭州,2024.07.14 周日 10:00,100-280,https://detail.damai.com/item.htm?id=799389733770&clicktitle=2024良渚古典音乐节 亲子音乐会—古典音乐名曲启蒙
KPOPBOOM长沙站｜千人KPOP超级派对,,长沙,2024.07.12 周五 20:00,88-188,https://detail.damai.com/item.htm?id=801262806557&clicktitle=KPOPBOOM长沙站｜千人KPOP超级派对
